Customer ID , Full Name, Country , Signup Date, Purchase Amount, Notes
1, Alice Smith , usa, 2023-01-05, $1200, Regular customer
2, bob jones, USA, 01/06/2023, 950 , 
3, Alice Smith , usa, 2023-01-05, $1200, Regular customer
4,  Carlos Diaz, Mexico , 2023/01/07, 1100.50, VIP
5, Dana Lee, CANADA , 2023-01-08, , New signup
6, Evan Wright, canada , 2023-01-09, 87000, Bulk order - unusually large
7, Farah Khan,   , 2023-01-10, 875, 
8, George Owusu, Nigeria, 2023-01-11, 990, 
9, Hana Kim, usa , not_a_date, 1050, 
10, Ivan Petrov, Russia, 2023-01-13, 1020, 
11, , USA, 2023-01-14, 940, missing name
12, Julia Roberts, Usa, 2023-01-15, 30, possible data entry error
